epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7258,1.4912,2.42303,0.92454,0.86683,0.89148,0.89973,0.51458,1.36447,1.01595,0.87347,0.000664495,0.000664495,0.000664495
2,112.438,1.396,0.92348,0.90112,0.97613,0.94702,0.97485,0.57423,1.46866,0.77544,0.88327,0.00106759,0.00106759,0.00106759
3,167.061,1.35593,0.73928,0.89079,0.98964,0.9567,0.98657,0.64012,1.27395,0.61964,0.85029,0.00120669,0.00120669,0.00120669
4,219.048,1.27954,0.63388,0.87541,0.99073,0.9687,0.99205,0.62643,1.29604,0.59593,0.85186,0.000812,0.000812,0.000812
5,271.013,1.23352,0.58167,0.86778,0.9903,0.96576,0.99247,0.65057,1.25431,0.55972,0.84443,0.000416,0.000416,0.000416
